景区名,标记次数
山亦城·九宫格老火锅(解放碑店),2
黑山谷风景区,2
马房湾66号·江湖菜,2
泸沽湖,2
玉龙雪山,2
芙蓉洞,2
猴三老火锅(洪崖洞店),2
弹子石,2
恩施大峡谷,2
边城景区,2
黄鹤楼,2
腾龙洞风景区,2
重庆长江大桥,2
圣寿寺,2
恩施土家女儿城,2
上海,2
宝顶山石刻,2
较场口夜市,2
然乌湖,1
府右街,1
太和门,1
丰都五鱼山玉皇圣地旅游景区,1
怒江七十二道拐,1
姊妹湖,1
芒康,1
阿刁·茶饮(大昭寺店),1
拉萨,1
羊卓雍措,1
老光明岗琼甜茶馆,1
理塘,1
泸定桥,1
稻城亚丁,1
龚滩镇,1
牛奶海,1
布达拉宫,1
梵净山佛教文化苑,1
酥小蒙宫廷酥牛肉饼,1
南山,1
天安门广场,1
石刻博物馆,1
水煮青春老火锅(老城店),1
洞亭火锅(防空洞店),1
两路口街道,1
南滨路/弹子石,1
南湖多彩植物园,1
西流沱小镇,1
IFS国际金融中心,1
四川省川剧院(芙蓉国粹变脸秀),1
观音桥好吃街,1
龙抄手(春熙路总店),1
大队长主题火锅(观音桥店),1
顺水鱼馆(大礼堂店),1
重庆来福士购物中心,1
春熙路步行街,1
赖汤圆,1
盤飧市(春熙路店),1
大慈寺,1
龙嘉国际机场,1
东达山,1
安顺廊桥,1
八达岭长城,1
颐和园,1
大昭寺,1
石井坡,1
八廓街,1
好利来(解放碑店),1
丰都鬼城,1
昆明,1
湖北省博物馆,1
楚河汉街,1
白帝城景区,1
西双版纳,1
巫山,1
漓江风景名胜区,1
解放碑街道,1
重庆洪崖洞异域风情街,1
江上高空酒店(重庆解放碑洪崖洞店),1
重庆欢乐谷,1
重庆华侨城嘉途酒店,1
仙市古镇,1
喜洲,1
和顺古镇,1
青岩古镇,1
通远门城墙遗址公园,1
美术馆,1
嘉陵江,1
酉阳桃花源,1
梦幻桃源实景演出,1
太古洞,1
宜兴,1
长江三峡,1
曾侯乙墓,1
小小三峡,1
杨家坪站,1
独克宗古城,1
奉节滨江一号公寓,1
山王坪喀斯特国家生态公园,1
枇杷园食为鲜火锅(南山总店),1
钟书阁(重庆店),1
胡记蹄花汤,1
枇杷山公园,1
白公馆红岩1949,1
洞子李毛肚火锅(解放碑总店),1
特园,1
白帝区,1
菜园坝长江大桥,1
屈原祠,1
屈原故里,1
神女峰,1
黄山蒋介石官邸,1
巴东,1
石宝寨,1
桔子酒店(重庆解放碑洪崖洞江景店),1
吉庆街,1
辛亥革命武昌起义纪念馆,1
八一好吃街,1
地下铁,1
普达措国家公园,1
古剑山风景区,1
摩围山景区,1
九格九味(南滨路店),1
红岩魂广场,1
歌乐山烈士陵园,1
红岩魂陈列馆,1
史迪威博物馆,1
育才中学学生食堂,1
港渝广场,1
鹅岭景区,1
慈云寺,1
红军游击洞,1
古剑山净音山庄,1
枇杷园食为鲜重庆老灶火锅,1
綦江博物馆,1
红军桥,1
綦江区,1
綦江农民版画院,1
净音寺,1
人民英雄纪念碑,1
南川区,1
重庆黔江,1
黔江区,1
桑科草原,1
尕海乡,1
红池坝高山草场,1
奉节,1
石柱,1
季华园,1
濯水景区蒲花暗河,1
濯水古镇,1
重庆观音桥,1
龙浒峡漂流,1
老太婆三活春(铜梁老店),1
巴岳山,1
安居古城,1
重庆龙温泉,1
铜梁区,1
重庆ReVia全景登高酒店,1
水煮青春,1
北仓图书馆,1
重庆雅诗阁来福士服务公寓,1
时代广场,1
南山风景区,1
长寿古镇,1
懒鱼时光馆(贰厂店),1
道后温泉本馆,1
枇杷园食为鲜火锅(南坪游乐园店),1
天门山玻璃栈道,1
武陵山乡,1
仙女山,1
金佛山,1
兰州,1
若尔盖,1
拉卜楞寺,1
赛格国际购物中心,1
建设路商业街,1
华清宫,1
和记火爆(南滨路店),1
李记搅团,1
川西坝子(金沙1.0直营店),1
西安,1
泰安古镇,1
清真马峰小炒泡馍,1
大雁塔南广场,1
回坊马二酸汤水饺,1
成都IFS雕塑庭院雕塑庭院,1
无隅酒店(重庆沙坪坝三峡广场店),1
依拉草原,1
香格里拉,1
大唐不夜城,1
唐城墙遗址公园,1
蓝月谷,1
木府,1
丽江古城,1
重庆JW万豪酒店,1
西秦会馆,1
巴蜀大将火锅(春熙店),1
SkyBridge HQ天会（原凌空SOHO）,1
玉林串串香(玉林街总店),1
清真·定家小酥肉(回民街旗舰店),1
郎木寺,1
陜拾叁,1
八一路街道,1
郎木寺镇,1
重庆两江假日丽呈华廷酒店,1
学生食堂(四川美术学院黄桷坪校区),1
重庆国泰艺术中心,1
乐山大佛,1
北山,1
禄口国际机场,1
嘉华嘉陵江大桥,1
重庆统景两江假日酒店,1
雷家老农民酸辣粉,1
黄桷湾立交桥,1
渝北区,1
蜀九香火锅(南府店),1
子午路张记(朱雀大街店),1
红杏酒家(明珠店),1
珍友社相声俱乐部,1
清真石家包子(大皮院总店),1
西安钟楼,1
骊山,1
清真盛志望麻酱酿皮铺(大皮院总店),1
青城后山,1
李子坝梁山鸡,1
酉阳酉州会馆,1
星巴克(机场T2到达大厅店),1
酉州古城,1
车姐·卤烤鸡爪·小郡肝(八一广场店),1
遵义,1
九九豆花馆,1
青城山后山/泰安古镇地区,1
锦里/武侯祠附近地区,1
贵阳,1
無早cafe·咖啡(锦江店),1
桐梓,1
机场区,1
史记记忆火锅,1
瓜西西重庆老火锅,1
朝天门大桥,1
壹华里市集,1
成都春熙路太古里晶融汇酒店式公寓,1
南滨公园,1
邮电路商业步行街,1
安居古镇,1
洪崖洞·洋货街,1
佛图关公园,1
垫江乐天花谷,1
丰都九重天丛林部落,1
李串串老店·李杰一家三口(解放碑店),1
珮姐老火锅(较场口总店),1
石灰市毛记烧鸡公,1
万州面馆,1
来福士,1
当当实体书店,1
蝴蝶梦音乐餐厅(江北九街店),1
醉湖美宴,1
红岩革命纪念馆,1
新华路,1
苏黎世大教堂,1
四洞沟景区,1
三娃串串香,1
不夜九街,1
山城夜景,1
奶牛梦工场(沙滨路),1
秦云老太婆摊摊面(万象城总店),1
耙二哥腰片王重庆火锅(摩尔店),1
成都鹭嘉国际酒店,1
杨家坪步行街,1
好又来酸辣粉(八一路总店),1
寨山坪公园,1
重庆怡华威斯达大酒店,1
梵高星空艺术馆,1
洋人街,1
重庆十八梯传统风貌区,1
几何书店,1
蜜多商店,1
杨记隆府,1
洞子口张老二凉粉,1
鲁祖庙,1
壹间公寓式酒店(重庆火车西站店),1
奔波寺（蚌普寺）,1
风水博物馆,1
南坪协信星光,1
南津关古镇,1
重庆千合智选高空江景酒店,1
黄花园大桥,1
芳邻路酒吧一条街,1
华光楼,1
重庆解放碑重庆森林公寓(人民解放纪念碑分店),1
梯坎豆花,1
四川大学,1
外滩,1
东方明珠,1
蜀小匠牛排火锅(春熙路总店),1
南充,1
杜甫草堂,1
太古里,1
梦之旅国际青年旅舍旅行酒店(成都武侯祠店),1
龙潭古镇,1
天台山,1
重庆百合教堂酒店,1
成都东站-西广场,1
晓宇重庆火锅(粉巷店),1
灶边边民间菜,1
华生园金色蛋糕梦幻王国,1
天宫院风水文化景区,1
汉桓侯祠,1
小谭豆花(西大街店),1
兴伊错,1
九寨沟风景区,1
高姐锡纸烤脑花(建设路店),1
南岸区,1
巴蜀大宅门火锅(川音店),1
重庆国际会议展览中心,1
镇远古城,1
82信箱私房钟水饺,1
青龙洞,1
有拈头成都市井火锅(太古里总店),1
舞阳河风景名胜区,1
重庆·巅峰乐园,1
磁器口街道,1
青秀山,1
白云山,1
牛角沱,1
卢沟桥,1
望乡台,1
双龙湖,1
南京禄口机场亚朵酒店,1
老麻抄手,1
阳光君亭酒店（重庆江北国际机场店）,1
重庆珮姐老火锅,1
松航老火锅(武隆直营店),1
乌江源百里画廊,1
信号山公园,1
重庆丽晶酒店·罗宾斯牛排馆,1
仙女山华邦酒店,1
长乐国际机场,1
瓜西西火锅(洪崖洞店),1
武隆区,1
大熊猫月亮产房,1
磁器口转运楼,1
重庆科技馆,1
老舍茶馆,1
南宁,1
两路口街道中山二路社区图书室,1
锦江之星品尚(重庆皇冠大扶梯儿童医院江景店),1
重庆云端之眼观景台,1
海螺沟,1
龙抄手,1
锦里结义楼三国演出,1
码头故事火锅(蜀汉路店),1
中路藏寨,1
三号营地,1
磨西古镇,1
双桥沟,1
长江,1
法国水师兵营旧址,1
重庆丽晶酒店·两江吧,1
重庆丽晶酒店·丽晶轩中餐厅,1
四川科技馆,1
格桑家酸奶(磁器口店),1
桂林,1
重庆解放碑威斯汀酒店,1
陈眼镜火锅(大坪总店),1
喵儿石创艺特区,1
乌江赤壁观景台,1
遵义会议会址,1
玉皇阁,1
天坑寨子景区,1
佛陀脚印,1
鸿恩寺森林公园,1
圆觉洞摩崖造像风景区,1
重庆机场民族风青年旅社,1
云龙地缝,1
恩施土司城,1
张关合渣(女儿城店),1
恩施大峡谷土家小院,1
成都记忆-宽窄巷子大套三公寓(清影路分店),1
挑面(王府井商业场旗舰店),1
背包十年青年旅舍（成都春熙路店）,1
成都广寓公寓(禧来蜀韵园分店),1
成都清居（春熙路太古里店）,1
天福商场,1
秀山,1
栈桥,1
曹魏古城,1
千佛山景区,1
捞锅坝子老火锅(解放碑店),1
签斤小姐牛肉串串(三峡广场总店),1
襄阳古城墙,1
关岳庙,1
降龙爪爪(马家巷1店),1
中兴路旧货交易市场,1
恩施石林土家小院,1
蒋六十八梯眼镜面,1
北部湾一号,1
耙二哥腰片王老火锅(双碑店),1
鸣天下辣子鸡(金源店),1
重庆小面,1
古隆中,1
鹿院坪,1
卤校长老火锅(观音桥直营店),1
恩施梭布垭石林景区,1
恩施野三峡综合旅游区,1
恩施之巅-黄鹤峰林景区,1
利川市,1
歌乐山国家森林公园,1
松鱼老火锅,1
曾家岩书院咖啡茶饮,1
书院巷酒店(重庆洪崖洞店),1
抱汁汁花甲,1
福音堂,1
磁器口名特美食街,1
海棠溪筒子楼,1
趵突泉景区,1
大学路,1
青岛啤酒博物馆,1
芙蓉街,1
八大关风景区-王正廷故居,1
五四广场,1
青岛德国总督楼旧址博物馆,1
建始花坪镇聚丰园山庄,1
黑虎泉,1
台东步行街,1
苏家坝立交桥,1
重庆工商大学,1
乌江黎芝峡景区,1
恩施地心谷景区,1
西湖公园,1
重庆万豪酒店,1
建始,1
襄阳古城,1
佬麻抄手(洪崖洞店),1
云阳龙缸国家地质公园,1
马房湾66号七彩巷,1
来福士中心,1
仙女山归原小镇,1
