景区名称,城市
资阳市安岳石刻?圆觉洞景区,资阳市
遂宁市龙凤景区,遂宁市
成都市郫县农科村,成都市
黄荆老林,泸州市
太平古镇景区,泸州市
乐山东方佛都旅游区,乐山市
江油李白纪念馆景区,绵阳市
新场古镇,成都市
国际非物质文化遗产博览园,成都市
子昂故里文化旅游区,遂宁市
内江市隆昌县石牌坊旅游区,内江市
雅安市雨城区上里古城,雅安市
东郊记忆,成都市
乐山市郭沫若故居,乐山市
东拉山大峡谷,雅安市
石棉县安顺场景区,雅安市
绵阳市北川药王谷旅游景区,绵阳市
望丛祠,成都市
西部最美水乡?三道堰旅游景区,成都市
观音湖湿地公园旅游景区,遂宁市
黑龙滩旅游景区,眉山市
武胜县宝箴塞,广安市
神龙山巴人石头城,广安市
熊猫古城景区,雅安市
五凤溪景区,成都市
石象湖景区,成都市
白鹿音乐小镇,成都市
宝山旅游区,成都市
泸州天仙硐,泸州市
泸州市张坝桂圆林旅游景区,泸州市
绵阳市科技馆旅游景区,绵阳市
白坪一飞龙旅游区,广安市
天意谷景区,广安市
金凤山景区,雅安市
罗江白马关景区,德阳市
绵阳市江油李白故居旅游景区,绵阳市
绵阳市北川维斯特农业休闲旅游区,绵阳市
遂宁市安居区七彩明珠景区,遂宁市
乐山市犍为县嘉阳.桫椤湖景区,乐山市
张澜故里旅游区,南充市
达州市宣汉县洋烈水乡景区,达州市
荥经县云峰山景区,雅安市
江湾神木园,眉山市
硗碛藏寨·神木垒景区,雅安市
宜宾市长宁县七洞沟旅游景区,宜宾市
宜宾市流杯池公园,宜宾市
南溪古街旅游景区,宜宾市
桃源山居旅游景区,乐山市
成都市崇州元通古镇景区,成都市
绵阳市仙海旅游景区,绵阳市
寻龙山景区,绵阳市
花海果乡旅游景区,雅安市
雅安周公山森林公园,雅安市
柳江古镇旅游景区,眉山市
灌县古城,成都市
成都市锦门景区,成都市
成都市双流区海滨城景区,成都市
隆昌县古宇湖旅游区,内江市
雅安喇叭河森林公园,雅安市
芦山县龙门古镇旅游景区,雅安市
清溪谷花田酒地景区,泸州市
达州市大竹县五峰山旅游景区,达州市
中国酒村一邛酒文化风情旅游村落,成都市
天艺浓园艺术博览园,成都市
飞仙关旅游景区,雅安市
蜂桶寨邓池沟景区,雅安市
灵关石城旅游景区,雅安市
汉姜古城旅游景区,雅安市
云溪温泉,泸州市
四川旅博天地,乐山市
国际竹艺城景区,眉山市
宣汉县巴山大峡谷旅游景区,达州市
达州市宣汉县峨城山旅游景区,达州市
龙桥文化生态园,泸州市
绵阳市江油佛爷洞旅游景区,绵阳市
宝兴县空石林景区,雅安市
中国泡菜城景区,眉山市
仁寿城市湿地公园,眉山市
内江大千园旅游景区,内江市
内江市范长江文化旅游园区,内江市
江油百年好合爱情谷旅游景区,绵阳市
五粮液旅游景区,宜宾市
尧坝古镇,泸州市
幸福田园,成都市
成佳茶乡旅游景区,成都市
泸州市凤凰湖旅游景区,泸州市
斑竹林,成都市
达州市万源八台山旅游景区,达州市
僰王山风景名胜区,宜宾市
绵阳市越王楼?三江半岛景区,绵阳市
蜀南花海,宜宾市
泸州市古蔺县大黑洞风景区,泸州市
市中区黄鹤湖旅游区,内江市
罗城古镇,乐山市
西部竹石林景区,宜宾市
兴文石菊古地旅游景区,宜宾市
通川区磐石月湖旅游景区,达州市
万源市红军公园旅游景区,达州市
碧瑶湾旅游景区,达州市
成都市彭州丹景山旅游景区,成都市
天府花溪谷,成都市
仙市古镇旅游景区,自贡市
自贡市燊海井景区,自贡市
自贡市尖山风景区,自贡市
自贡市玉章故里景区,自贡市
富顺文庙·西湖景区,自贡市
绵阳市罗浮山景区,绵阳市
农夫山泉峨眉山工业旅游区,乐山市
龙苍沟叠翠溪景区,雅安市
新都花香果居旅游景区,成都市
五华山旅游区,广安市
世界荷花博览园,遂宁市
金色清平景区,德阳市
瓦屋山景区,眉山市
成都市龙泉驿区蔚然花海景区,成都市
成都麓湖水城景区,成都市
战旗村景区,成都市
古郎景区,泸州市
乐贤半岛旅游区,内江市
金口河区大渡河金口大峡谷旅游景区,乐山市
大川河旅游景区,雅安市
宜宾横江古镇景区,宜宾市
宜宾市珙县龙茶花海景区,宜宾市
宜宾高县胜天红岩山旅游景区,宜宾市
广汉市易家河坝乡村旅游区,德阳市
岳池县岳池农家生态文化旅游区,广安市
威远县世界无花果博览园旅游景区,内江市
成都市祟州市天府国际慢城景区,成都市
成都市武侯区天府芙蓉园景区,成都市
泸州市江阳区董允坝伞乡景区,泸州市
泸州市叙永县中国沈酒庄景区,泸州市
绵阳市梓潼县两弹城旅游景区,绵阳市
南充市仪陇县德园景区,南充市
达州市渠县文峰山文化旅游景区,达州市
雅安市名山区牛碾坪景区,雅安市
雅安市名山区月亮湖景区,雅安市
成都市崇州市竹艺村景区,成都市
遂宁市射洪市舍得酒文化旅游区,遂宁市
内江市威远县石板河旅游区,内江市
内江市资中县罗泉古镇旅游景区,内江市
乐山市夹江县东风堰-千佛岩景区,乐山市
南充市营山县进士文化旅游景区,南充市
宜宾市长宁县佛来山旅游景区,宜宾市
宜宾市高县大雁岭旅游景区,宜宾市
宜宾市兴文县僰人巨石阵景区,宜宾市
达州市达川区乌梅山旅游景区,达州市
自贡盐业历史博物馆,自贡市
中国彩灯博物馆,自贡市
佛宝森林公园,泸州市
玉蟾山景区,泸州市
泸州方山旅游区,泸州市
乐山金鹰山荘,乐山市
犍为文庙,乐山市
达州万源市龙潭河旅游景区,达州市
南部县禹迹山风景区,南充市
南充市北湖公园,南充市
三台县梓州杜甫草堂景区,绵阳市
老峨山景区,眉山市
沐川竹海,乐山市
成都伊利乳业园旅游景区,成都市
成都蒲江樱桃山旅游景区,成都市
青白江区客家杏花村旅游景区,成都市
开江金山寺旅游景区,达州市
成都市川菜博物馆,成都市
崇州市罨画池,成都市
逐宁市大英县东方生态博览园,遂宁市
成都市龙泉国际标榜旅游区,成都市
邛峡竹溪湖生态旅游景区,成都市
休闲美食文化园,成都市
高坪区鹤鸣山旅游景区,南充市
中国川菜体验园景区,成都市
邻水县黄桷树公园,广安市
南充市高坪区金凤山旅游景区,南充市
简阳东来桃源景区,成都市
乐山市天工开物文化旅游景区,乐山市
东兴老街,内江市
萃屏公园,广安市
丹棱?桃花源,眉山市
蒙牛乳制品（眉山）工业旅游景区,眉山市
西南航空文化旅游景区,成都市
雷畅故居景区,乐山市
天池公园景区,宜宾市
铜锣山旅游区,广安市
保和生态旅游度假区,资阳市
魅力柠海景区,资阳市
渠县红色渠县纪念园旅游景区,达州市
北辰湖公园,广安市
新繁东湖景区,成都市
成都大悦城,成都市
龙华镇八仙山立佛,宜宾市
龙洄酒庄,泸州市
泸州欢乐派海滩公园,泸州市
护国运动文化园区,泸州市
好秾人有机农庄,成都市
蝶彩花卉景区,眉山市
响水六坊景区,眉山市
南湖梦幻岛,成都市
四川金盆地酒文化博览园,成都市
玉皇养生谷,成都市
西充县中国有机生活公园旅游景区,南充市
鲜花山谷,成都市
中里新村,雅安市
七里坝旅游景区,雅安市
紫石关村旅游景区,雅安市
安岳县宝森农林旅游区,资阳市
宣汉县马渡关石林旅游景区,达州市
达州市宣汉县香炉山旅游景区,达州市
宣汉县庙安花果山旅游景区,达州市
宣汉县圣水桃园旅游景区,达州市
三索窝旅游景区,雅安市
寿安花木编艺公园,成都市
安州区花城果乡旅游景区,绵阳市
安州区幸福七里旅游景区,绵阳市
绵阳市平武印象梅林景区,绵阳市
醉氧天街,乐山市
凤垚香谷水世界,宜宾市
常生山水印象,宜宾市
幸福公社,宜宾市
锦屏山3A级景区,宜宾市
龙蟠溪,宜宾市
余泽鸿故居,宜宾市
鹿鸣茶海旅游景区,宜宾市
仪陇县新政镇安溪潮乡村旅游景区,南充市
阊中市天林乡五龙度假区,南充市
擦耳桃源旅游景区,南充市
醉美橙香旅游景区,南充市
花好动物园生态观光动物园,南充市
黄继光纪念馆,德阳市
剑南老街,德阳市
中国香山?寿香谷,德阳市
岭上花开农业公园,德阳市
泉映梨花旅游景区,成都市
绵阳市安州区红花源景区,绵阳市
江油市中国酱文化博览园,绵阳市
汉亭生态农业观光园,达州市
宣汉县米岩花海旅游景区,达州市
通川区神剑园旅游景区,达州市
开江县飞云温泉景区,达州市
蟹螺堡子,雅安市
桂花湖景区,眉山市
大云山景区,广安市
华蓥山峨凤岭森林农庄,广安市
岳池县乡愁园景区,广安市
花香田园景区,自贡市
东汉醪糟旅游景区,达州市
绵阳市安州区环湖碧荷园景区,绵阳市
汉阳湖景区,眉山市
国瑞皓峰景区,眉山市
寿星谷景区,眉山市
雅女湖有机农庄,眉山市
大竹县玉带河太极岛,达州市
筠连清溪沟景区,宜宾市
金兰花谷,宜宾市
橘香小镇,宜宾市
南溪区月亮湾,宜宾市
世界樟海-长滩樟林景区,宜宾市
四川江安红岩柿子部落旅游景区,宜宾市
长宁县竹海酒庄,宜宾市
苦竹?天泉景区,宜宾市
珙县石板溪娃娃鱼生态园,宜宾市
九子山旅游景区,宜宾市
太安石林,宜宾市
宜宾市屏山县四季果园景区,宜宾市
高县文武荷田景区,宜宾市
大竹县花房子景区,达州市
大竹县云峰茶谷旅游景区,达州市
幺麻子藤椒文化旅游景区,眉山市
眉山樱花博览园,眉山市
悦缘花谷景区,资阳市
南充市南部县布拉格景区,南充市
南充市蓬安县血村,南充市
阖中市红军烈士纪念园,南充市
西充县桃文化博览园,南充市
西充县双龙桥中国有机生态循环第一村,南充市
御翠草堂,成都市
成都佛罗伦萨小镇,成都市
夏河溪景区,成都市
广元堡川矿记忆景区,雅安市
五彩荷园景区,自贡市
瑞鑫火箭湖旅游景区,自贡市
银城花海,广安市
中国根书艺术馆,乐山市
绵竹汉旺地震遗址公园,德阳市
仪陇县朱德铜像纪念园,南充市
仪陇县黎明村旅游景区,南充市
安州区枣皮走廊·蝴蝶谷景区,绵阳市
翠屏区幸福?胡坝景区,宜宾市
翠屏区翠屏山景区,宜宾市
翠屏区金秋湖茶博园景区,宜宾市
翠屏区赵一曼故居景区,宜宾市
叙州区春风里景区,宜宾市
南溪区长江第一湾景区,宜宾市
长宁县洪谟故里景区,宜宾市
兴文县水泸坝景区,宜宾市
兴文县凉水湾景区,宜宾市
安岳县千佛寨旅游景区,资阳市
乐至县四季果乡景区,资阳市
大雅文化旅游景区,眉山市
华蓥市君兰天下生态文化园,广安市
邻水县银鼎山公园,广安市
邻水县缪氏庄园,广安市
渠县文庙景区,达州市
秀岭春天景区,达州市
成都山玫瑰谷,达州市
瑞福蚕桑乐园,达州市
帝源生态农场,达州市
罗瑞卿纪念馆旅游景区,南充市
张澜纪念馆旅游景区,南充市
保宁醋文化博览园旅游景区,南充市
名山区龙滩子景区,雅安市
名山区红草坪景区,雅安市
名山区蒙顶酒庄景区,雅安市
雨城区藏茶世界景区,雅安市
严道古城景区,雅安市
南部县八尔湖景区,南充市
四川邛崃茶兰景区,成都市
红仓?完美文创产业园,成都市
隆昌市古宇渔村景区,内江市
花漫水乡景区,内江市
万花谷景区,内江市
孟塘里乡情生态园,内江市
古佛顶旅游景区,内江市
马祖故里景区,德阳市
广汉房湖景区,德阳市
李冰文化旅游景区,德阳市
世界茉莉博览园,乐山市
沈子国酒庄景区,泸州市
三台县潼川古城景区,绵阳市
平武县老河沟景区,绵阳市
梓潼县文昌艺术部落,绵阳市
绵阳北川飞鸿滑草场景区,绵阳市
郪讲湿地公园,遂宁市
卓简井遗址公园,遂宁市
月亮湾.金钟山景区,雅安市
翠屏区高桥竹村景区,宜宾市
南溪区雷公山景区,宜宾市
江安县长江竹岛景区,宜宾市
高县蜀山茶海景区,宜宾市
佛山橘海.橘乐田园景区,资阳市
安岳石窟.卧佛院,资阳市
五彩林乡,资阳市
东坡区惠川景区,眉山市
裸伊谷景区,眉山市
中岩景区,眉山市
玫瑰海,自贡市
成都松鼠部落森林假日公园,成都市
蜀酒文化园区,成都市
七坪寨旅游景区,南充市
中国绸都丝绸博物馆,南充市
南充南部县寺外桃源旅游景区,南充市
仪陇县橘源旅游景区,南充市
营山县多彩千坵旅游景区,南充市
乐山市大千纸故里研学园,乐山市
沫若戏剧文创园,乐山市
森态源魔芋工业旅游景区,乐山市
中国花椒博览园,雅安市
川西竹海景区,成都市
中华彩灯大世界,自贡市
牛佛古镇景区,自贡市
三多古寨景区,自贡市
什邡市花坞.御景园景区,德阳市
天全县红军村景区,雅安市
四川盆底-大地艺术景区,德阳市
小青龙河旅游景区,内江市
绵阳富乐山景区,绵阳市
内江资中重龙山,内江市
资阳乐至龙门报国寺,资阳市
广安市肖溪古镇,广安市
内江市隆昌古湖景区,内江市
高峰山景区,遂宁市
遂宁大英县蓬莱公园,遂宁市
彭祖故里,眉山市
德阳段家大院子川西古民居园区,德阳市
泸州市博物馆,泸州市
南充营山县西月湖公园,南充市
达州市宣汉县观音山森林公园,达州市
宽窄巷子,成都市
泸州叙永县春秋祠,泸州市
仪陇县龙神垭乡村旅游景区,南充市
成都战役纪念馆,成都市
成都市新津纯阳观景区,成都市
绵阳市碧水蓝天旅游景区,绵阳市
绵阳市盐亭县玉龙山旅游景区,绵阳市
泸州市况场朱德旧居陈列馆,泸州市
南充市大深南海旅游景区,南充市
广安市岳池县中富农庄风景区,广安市
涪城区晨曦森林度假村旅游景区,绵阳市
继勋公园,遂宁市
高县可久红岩山旅游景区,宜宾市
广安市蜜梨度假村旅游景区,广安市
资阳市乐至县慈恩寺旅游景区,资阳市
乐山市木鱼人家旅游景区,乐山市
沙湾区叠翠坪休闲度假中心,乐山市
泸州乌木水寨,泸州市
梦里水乡田园度假农场,泸州市
四川易园园林艺术博物馆,成都市
五月玫瑰四季庭苑,成都市
蜀国鹃都景区,成都市
都江堰市茶溪谷旅游景区,成都市
自贡市艾叶古镇,自贡市
雅安汉源体育公园,雅安市
雅安雪山新村景区,雅安市
马边县烟峰彝家新寨旅游景区,乐山市
马边县玛瑙苗寨旅游景区,乐山市
泸州市古蔺县双沙镇白马景区,泸州市
大寨乡富民新村旅游景区,泸州市
宜宾市大妙荷花景区,宜宾市
宜宾市果城花乡景区,宜宾市
南充市高坪橙乡烟山旅游景区,南充市
松林桃花山风景区,德阳市
崇州市博物馆,成都市
峨边县哈曲解放彝寨,乐山市
峨边县黑竹沟底底古彝寨,乐山市
五渡先锋新寨景区,乐山市
马边凤鸣会步景区,乐山市
东西关钓鱼城,广安市
金口河区水墨顺河旅游景区,乐山市
金口河区五彩天池旅游景区,乐山市
金口河区花溪曙光旅游景区,乐山市
犀牛山庄,眉山市
天池山景区,眉山市
沙子湾景区,眉山市
狮子生态农业景区,眉山市
中国脐橙之乡风景旅游区,成都市
成都连二里市旅游景区,成都市
南溪区朱德旧居景区,宜宾市
天府新区大林镇翠湖梨乡,成都市
花熳天下景区,成都市
雁江区临江寺?川味源文化旅游景区,资阳市 
稻香湾梦幻田园景区,眉山市
春驿花园景区,眉山市
天府微博村,成都市
辕门仙草谷,乐山市
天府橙都,眉山市
稻虾乐园景区,德阳市
川西关口景区,德阳市
荷花谷旅游景区,内江市
成都市新华公园,成都市
峨山老窖景区,眉山市
重庆大足石刻景区,大足
重庆万盛黑山谷景区,万盛
重庆南川金佛山景区,南川
重庆江津四面山景区,江津
重庆云阳龙缸景区,云阳
重庆黔江濯水景区,黔江
重庆丰都名山风景区,丰都
重庆聂荣臻元帅陈列馆,江津
重庆忠县石宝寨,忠县
重庆人民大礼堂及人民广场,渝中
重庆歌乐山森林公园,沙坪坝
重庆缙云山景区,北碚
重庆北泉风景区,北碚
重庆歌乐山烈士陵园,渝中
重庆南山植物园,南岸
重庆乐和乐都景区,永川
重庆红岩革命纪念馆,渝中
重庆丰都雪玉洞景区,丰都
重庆云阳张飞庙,云阳
重庆黔江小南海旅游景区,黔江
重庆市规划展览馆,渝中
重庆湖广会馆,渝中
重庆磁器口古镇,沙坪坝
重庆统景温泉风景区,渝北
重庆中国三峡博物馆,渝中
重庆洪崖洞民俗风貌区,渝中
重庆海兰云天温泉度假区,九龙坡
重庆动物园,九龙坡
重庆贝迪颐园温泉度假区,九龙坡
重庆科技馆,江北
重庆观音桥商圈都市旅游区,江北
重庆华岩旅游区,九龙坡
重庆加勒比海水世界景区,南岸
重庆潼南杨闇公故里景区,潼南
重庆上邦温泉旅游区,九龙坡
重庆万州大瀑布群旅游区,万州
重庆綦江古剑山风景区,綦江
重庆长寿湖旅游区,长寿
重庆开州刘伯承同志纪念馆,开州
重庆白鹤梁水下博物馆景区,涪陵
重庆中国民主党派历史陈列馆景区,渝中
重庆永川茶山竹海旅游景区,永川
重庆合川钓鱼城景区,合川
重庆铁山坪森林公园,江北
重庆北碚金刀峡景区,北碚
重庆长寿菩提古镇文化旅游区,长寿
重庆云阳三峡梯城景区,云阳
重庆园博园,渝北
重庆璧山观音塘湿地公园,璧山
重庆铜梁安居古城,铜梁
重庆潼南大佛寺,潼南
重庆涪陵武陵山大裂谷景区,涪陵
重庆开州汉丰湖景区,开州
重庆荣昌万灵古镇,荣昌
重庆天地旅游区,渝中
重庆周君记火锅食品工业旅游体验园,九龙坡
重庆东温泉风景区,巴南
重庆合川涞滩古镇,合川
重庆涪陵武陵山国家森林公园,涪陵
重庆涪陵大木花谷林下花园景区,涪陵
重庆铜梁黄桷门奇彩梦园,铜梁
重庆巴南中泰天心佛文化旅游区,巴南
重庆江津陈独秀旧居陈列馆,江津
重庆黔江芭拉胡景区,黔江
重庆自然博物馆,北碚
重庆巴南丰盛古镇,巴南
重庆长寿菩提山文化旅游区,长寿
重庆梁平滑石古寨景区,梁平
重庆黔江土家十三寨,黔江
重庆南岸长嘉汇弹子石老街,南岸
重庆融汇温泉小镇,沙坪坝
重庆两江国际影视城,渝北
重庆市黔江神龟峡景区,黔江
重庆长江索道景区,渝中
重庆黔江爱莉丝庄园,黔江
重庆垫江牡丹樱花世界景区,垫江
重庆潼南双江古镇景区,潼南
重庆丰都南天湖景区,丰都
重庆保税体验旅游景区,江北
重庆丰都九重天景区,丰都
重庆抗战遗址博物馆,南岸
重庆綦江国家地质公园老瀛山景区,綦江
重庆建川博物馆,九龙坡
重庆涪陵816工程景区,涪陵
重庆梁平百里竹海观音洞,梁平
重庆鎏嘉码头景区,江北
重庆际华园景区,渝北
重庆黔江水车坪景区,黔江
重庆巴南羊鹿山景区,巴南
重庆欢乐谷景区,渝北
重庆垫江恺之峰旅游区,垫江
重庆铜梁玄天湖景区,铜梁
重庆汉海海洋公园,巴南
重庆石笋山景区,江津
重庆江津会龙庄景区,江津
重庆三峡移民纪念馆,万州
重庆忠县白公祠文博景区,忠县
重庆黔江官村景区,黔江
重庆江津中山古镇,江津
重庆市龙头嘴森林公园,开州
重庆万州三峡平湖旅游区,万州
重庆市潼南区陈抟故里景区,潼南
重庆天赐温泉生态旅游景区,九龙坡
重庆鹅岭公园,渝中
重庆市鳄鱼中心,渝北
重庆海石公园,沙坪坝
重庆渝北龙兴古镇景区,渝北
重庆巴南云篆山,巴南
重庆梁平双桂堂,梁平
重庆永川桃花源旅游度假区,永川
重庆永川香海温泉旅游度假区,永川
重庆华生园金色蛋糕梦幻王国景区,大渡口
重庆沙坪坝抗战名人旧居,沙坪坝
重庆大渡口南海温泉中心,大渡口
重庆南川永隆山森林公园,南川
重庆江津黑石山风景区,江津
重庆南川黎香湖湿地生态园,南川
重庆南川花山公园,南川
重庆南滨路景区,南岸
重庆綦江博物馆,綦江
重庆南川生态大观园,南川
重庆北碚静观花木生态旅游区,北碚
重庆渝北印盒李花生态旅游区,渝北
重庆渝北宝林博物馆,渝北
重庆合川文峰街,合川
重庆永川松溉古镇,永川
重庆荣昌安陶博物馆,荣昌
重庆渝中嘉西村—怡园景区,渝中
重庆綦江高庙坝生态旅游区,綦江
重庆江津石门大佛景区,江津
重庆江津塘河古镇,江津
重庆沙坪坝虎峰山景区,沙坪坝
重庆九龙坡九凤山景区,九龙坡
重庆万州西游洞,万州
重庆铜梁博物馆,铜梁
重庆大足荷花山庄,大足
重庆大足海棠香国历史文化风情城,大足
重庆巴南天坪山云林天乡景区,巴南
重庆江津聂荣臻故居,江津
重庆铜梁桂花博览园,铜梁
重庆映像金阳历史风貌区,南岸
重庆万州同鑫蔬菜大观园,万州
重庆万州西山公园,万州
重庆万州石桥乡湿地公园,万州
重庆渝北放牛坪景区,渝北
重庆开州盛山植物园,开州
重庆北碚西山坪苓茏苑,北碚
重庆开州马扎营养生旅游区,开州
重庆开州紫海云天香草园,开州
荷和原乡,铜梁
重庆合川友缘山庄,合川
重庆药用植物园,南川
重庆万盛金蝶湖文化公园景区,万盛
重庆万州奇芳花谷景区,万州
重庆涪陵古今花海景区,涪陵
重庆美心红酒小镇景区3A,涪陵
重庆万州凤凰花果山景区,万州
重庆荣昌夏布小镇景区,荣昌
重庆中华梁平柚海,梁平
重庆开州博物馆,开州
重庆万盛科技馆,万盛
重庆云阳月光草坪景区,云阳
重庆垫江李花源景区,垫江
重庆江津骆騋山景区,江津
重庆垫江仙草园中医文化旅游区,垫江
重庆万州七星谷景区,万州
重庆万州桐花湾美人谷景区,万州
重庆大韩民国临时政府旧址陈列馆,渝中
重庆市南岸岚苑景区,南岸
重庆宋庆龄旧居陈列馆,渝中
重庆渝北竹林公园,渝北
重庆万州弥陀禅院,万州
重庆万县“九五”惨案纪念馆,万州
重庆涪陵沙溪温泉,涪陵
重庆南温泉风景区,巴南
重庆綦江石壕红军烈士墓,綦江
重庆璧山露德堂景区,璧山
重庆铜梁邱少云烈士纪念馆,铜梁
重庆江津滚子坪景区,江津
重庆江津清源宫景区,江津
重庆大足五金博物馆,大足
重庆铜梁金梅印象景区,铜梁
重庆南岸南山桃花园景区,南岸
重庆铜梁三色乡下时光景区,铜梁
重庆丰都江池横梁景区,丰都
重庆涪陵李蔚如故里,涪陵
重庆开州天心桥景区,开州
重庆涪陵巴山夜雨休闲旅游区,涪陵
重庆开州温泉仙女洞,开州
重庆璧山三担湖公园,璧山
重庆江津白沙老重庆影视基地,江津
重庆万州古红桔主题公园,万州
重庆铜梁西部农林大世界,铜梁
重庆綦江教育博物馆,綦江
重庆江津太公山景区,江津
重庆云阳县香盟花千谷景区,云阳
重庆云阳泥溪农耕故土园景区,云阳
重庆云阳县枣康源景区,云阳
重庆云阳县锣鼓宕风景区,云阳
重庆云阳县四方井公园景区,云阳
重庆云阳县歧山草原景区,云阳
涪陵四川红军第二路游击队烈士陵园,涪陵
重庆云阳绿岛景区,云阳
重庆云阳映山红公园,云阳
重庆市广益中学校园景区,南岸
人民公园,人民公园
成都鹪鹩人文精品酒店,成都鹪鹩人文精品酒店
缘贡自贡菜·川菜馆(春熙路店),缘贡自贡菜·川菜馆(春熙路店)
解放碑,解放碑
文殊院,文殊院
太古里,太古里
不站花胶鸡(春熙店),不站花胶鸡(春熙店)
天府广场,天府广场
大慈寺,大慈寺
四川博物院,四川博物院
班花麻辣烫(太古里总店),班花麻辣烫(太古里总店)
成都远洋太古里,成都远洋太古里
李子坝轻轨,李子坝轻轨
鹤鸣茶社,鹤鸣茶社
成都环球中心,成都环球中心
青羊宫,青羊宫
洞子口张老二凉粉,洞子口张老二凉粉
大院河鲜,大院河鲜
严太婆锅魁,严太婆锅魁
四川大学,四川大学
成都吃客,成都吃客
阆中文庙,阆中文庙
朝天门广场,朝天门广场
中天楼,中天楼
南山一棵树,南山一棵树
四川美术学院,四川美术学院
二厂文创公园,二厂文创公园
澜沧江,澜沧江
芦苇滩,芦苇滩
上里古镇,上里古镇
木府,木府
高庙古镇,高庙古镇
翠映湖,翠映湖
飞泉沟,飞泉沟
甘海子,甘海子
紫坪铺水库,紫坪铺水库
宝瓶口,宝瓶口
伏龙观,伏龙观
兰桂坊,兰桂坊
乐山乌木文化博览苑,乐山乌木文化博览苑
老君山,老君山
青城后山,青城后山
白鹿中法风情小镇,白鹿中法风情小镇
清代四川贡院,清代四川贡院
夜啤酒长廊,夜啤酒长廊
浣花溪,浣花溪
瓜串串,瓜串串
几何书店,几何书店
百花潭,百花潭
成都锦城公园,成都锦城公园
大洛水码头,大洛水码头
四川美术馆,四川美术馆
五块石街道,五块石街道
春熙路,春熙路
香槟广场,香槟广场
大熊猫月亮产房,大熊猫月亮产房
IFS,IFS
塔子山,塔子山
草海,草海
四川省图书馆,四川省图书馆
重庆白象街,重庆白象街
圣寿寺,圣寿寺
南津关连峰楼,南津关连峰楼
通天河,通天河
状元洞,状元洞
东水门,东水门
重庆交通茶馆,重庆交通茶馆
蜜多商店,蜜多商店
琴台故径,琴台故径
南津关古镇,南津关古镇
孝泉镇,孝泉镇
南屏步行街,南屏步行街
南门楼,南门楼
老北街,老北街
来福士,来福士
北仓文创园,北仓文创园
翡翠湖,翡翠湖
炒作大师,炒作大师
小酒馆,小酒馆
美国驻成都总领事馆,美国驻成都总领事馆
北仓图书馆,北仓图书馆
贡院民俗广场,贡院民俗广场
锦里,锦里
皇冠大扶梯,皇冠大扶梯
白塔公园,白塔公园
文庙,文庙
贡院,贡院
奥陶纪,奥陶纪
步行街,步行街
重庆建川博物馆,重庆建川博物馆
成都建川博物馆,成都建川博物馆
渣滓洞,渣滓洞
重庆好吃街,重庆好吃街
白公馆,白公馆
纯阳老酒馆,纯阳老酒馆
中山四路,中山四路
千厮门大桥,千厮门大桥
龙门浩老街,龙门浩老街
朝天门,朝天门
龚滩古镇,龚滩古镇
罗汉寺,罗汉寺
宝顶山,宝顶山
八一路好吃街,八一路好吃街
乐天花谷,乐天花谷
史迪威博物馆,史迪威博物馆
特园,特园
周公馆,周公馆
观音桥步行街,观音桥步行街
涂鸦一条街,涂鸦一条街
黄山蒋介石官邸,黄山蒋介石官邸
