景区名,景区名称,城市
张坝桂圆林,泸州市张坝桂圆林旅游景区,泸州市
绵阳市科技馆,绵阳市科技馆旅游景区,绵阳市
飞龙,白坪一飞龙旅游区,广安市
白坪,白坪一飞龙旅游区,广安市
天意谷,天意谷景区,广安市
金凤山,金凤山景区,雅安市
罗江白马关,罗江白马关景区,德阳市
李白故居,绵阳市江油李白故居旅游景区,绵阳市
维斯特,绵阳市北川维斯特农业休闲旅游区,绵阳市
七彩明珠,遂宁市安居区七彩明珠景区,遂宁市
桫椤湖,乐山市犍为县嘉阳.桫椤湖景区,乐山市
张澜故里,张澜故里旅游区,南充市
洋烈水乡,达州市宣汉县洋烈水乡景区,达州市
云峰山,荥经县云峰山景区,雅安市
神木园,江湾神木园,眉山市
神木垒,硗碛藏寨·神木垒景区,雅安市
七洞沟,宜宾市长宁县七洞沟旅游景区,宜宾市
流杯池,宜宾市流杯池公园,宜宾市
南溪古街,南溪古街旅游景区,宜宾市
桃源山居,桃源山居旅游景区,乐山市
元通古镇,成都市崇州元通古镇景区,成都市
仙海,绵阳市仙海旅游景区,绵阳市
寻龙山,寻龙山景区,绵阳市
花海果乡,花海果乡旅游景区,雅安市
周公山,雅安周公山森林公园,雅安市
柳江古镇,柳江古镇旅游景区,眉山市
灌县古城,灌县古城,成都市
锦门,成都市锦门景区,成都市
海滨城,成都市双流区海滨城景区,成都市
古宇湖区,隆昌县古宇湖旅游区,内江市
喇叭河,雅安喇叭河森林公园,雅安市
龙门古镇,芦山县龙门古镇旅游景区,雅安市
花田酒地,清溪谷花田酒地景区,泸州市
清溪谷,达州市大竹县五峰山旅游景区,达州市
五峰山,达州市大竹县五峰山旅游景区,达州市
邛酒文化风情村,中国酒村一邛酒文化风情旅游村落,成都市
天艺浓园,天艺浓园艺术博览园,成都市
飞仙关,飞仙关旅游景区,雅安市
邓池沟,蜂桶寨邓池沟景区,雅安市
灵关石城,灵关石城旅游景区,雅安市
汉姜古城,汉姜古城旅游景区,雅安市
云溪温泉,云溪温泉,泸州市
旅博天地,四川旅博天地,乐山市
竹艺城,国际竹艺城景区,眉山市
巴山大峡谷,宣汉县巴山大峡谷旅游景区,达州市
峨城山,达州市宣汉县峨城山旅游景区,达州市
龙桥文化生态园,龙桥文化生态园,泸州市
江油佛爷洞,绵阳市江油佛爷洞旅游景区,绵阳市
宝兴县空石林,宝兴县空石林景区,雅安市
泡菜城,中国泡菜城景区,眉山市
城市湿地公园,仁寿城市湿地公园,眉山市
大千园,内江大千园旅游景区,内江市
范长江文化园,内江市范长江文化旅游园区,内江市
爱情谷,江油百年好合爱情谷旅游景区,绵阳市
五粮液,五粮液旅游景区,宜宾市
尧坝古镇,尧坝古镇,泸州市
幸福田园,幸福田园,成都市
成佳茶乡,成佳茶乡旅游景区,成都市
凤凰湖,泸州市凤凰湖旅游景区,泸州市
斑竹林,斑竹林,成都市
八台山,达州市万源八台山旅游景区,达州市
僰王山,僰王山风景名胜区,宜宾市
越王楼,绵阳市越王楼?三江半岛景区,绵阳市
三江半岛,绵阳市越王楼?三江半岛景区,绵阳市
蜀南花海,蜀南花海,宜宾市
大黑洞,泸州市古蔺县大黑洞风景区,泸州市
黄鹤湖,市中区黄鹤湖旅游区,内江市
罗城古镇,罗城古镇,乐山市
竹石林,西部竹石林景区,宜宾市
石菊古地,兴文石菊古地旅游景区,宜宾市
磐石月湖,通川区磐石月湖旅游景区,达州市
红军公园,万源市红军公园旅游景区,达州市
碧瑶湾,碧瑶湾旅游景区,达州市
丹景山,成都市彭州丹景山旅游景区,成都市
花溪谷,天府花溪谷,成都市
仙市古镇,仙市古镇旅游景区,自贡市
燊海井,自贡市燊海井景区,自贡市
尖山风,自贡市尖山风景区,自贡市
玉章故里,自贡市玉章故里景区,自贡市
西湖,富顺文庙·西湖景区,自贡市
富顺文庙,富顺文庙·西湖景区,自贡市
罗浮山,绵阳市罗浮山景区,绵阳市
农夫山泉,农夫山泉峨眉山工业旅游区,乐山市
叠翠溪,龙苍沟叠翠溪景区,雅安市
龙苍沟,龙苍沟叠翠溪景区,雅安市
花香果居,新都花香果居旅游景区,成都市
五华山,五华山旅游区,广安市
荷花博览园,世界荷花博览园,遂宁市
金色清平,金色清平景区,德阳市
瓦屋山,瓦屋山景区,眉山市
蔚然花海,成都市龙泉驿区蔚然花海景区,成都市
麓湖水城,成都麓湖水城景区,成都市
战旗村,战旗村景区,成都市
古郎,古郎景区,泸州市
乐贤半岛,乐贤半岛旅游区,内江市
金口大峡谷,金口河区大渡河金口大峡谷旅游景区,乐山市
大川河,大川河旅游景区,雅安市
横江古镇,宜宾横江古镇景区,宜宾市
龙茶花海,宜宾市珙县龙茶花海景区,宜宾市
红岩山,宜宾高县胜天红岩山旅游景区,宜宾市
易家河坝乡,广汉市易家河坝乡村旅游区,德阳市
岳池农家,岳池县岳池农家生态文化旅游区,广安市
无花果博览园,威远县世界无花果博览园旅游景区,内江市
国际慢城,成都市祟州市天府国际慢城景区,成都市
芙蓉园,成都市武侯区天府芙蓉园景区,成都市
伞乡,泸州市江阳区董允坝伞乡景区,泸州市
董允坝伞乡,泸州市江阳区董允坝伞乡景区,泸州市
沈酒庄,泸州市叙永县中国沈酒庄景区,泸州市
两弹城,绵阳市梓潼县两弹城旅游景区,绵阳市
德园,南充市仪陇县德园景区,南充市
文峰山,达州市渠县文峰山文化旅游景区,达州市
牛碾坪,雅安市名山区牛碾坪景区,雅安市
月亮湖,雅安市名山区月亮湖景区,雅安市
竹艺村,成都市崇州市竹艺村景区,成都市
舍得酒,遂宁市射洪市舍得酒文化旅游区,遂宁市
石板河,内江市威远县石板河旅游区,内江市
罗泉古镇,内江市资中县罗泉古镇旅游景区,内江市
千佛岩,乐山市夹江县东风堰-千佛岩景区,乐山市
东风堰,乐山市夹江县东风堰-千佛岩景区,乐山市
进士文化,南充市营山县进士文化旅游景区,南充市
佛来山,宜宾市长宁县佛来山旅游景区,宜宾市
大雁岭,宜宾市高县大雁岭旅游景区,宜宾市
巨石阵,宜宾市兴文县僰人巨石阵景区,宜宾市
乌梅山,达州市达川区乌梅山旅游景区,达州市
盐业历史博物馆,自贡盐业历史博物馆,自贡市
彩灯博物馆,中国彩灯博物馆,自贡市
佛宝森林公园,佛宝森林公园,泸州市
玉蟾山,玉蟾山景区,泸州市
泸州方山,泸州方山旅游区,泸州市
金鹰山荘,乐山金鹰山荘,乐山市
犍为文庙,犍为文庙,乐山市
龙潭河,达州万源市龙潭河旅游景区,达州市
禹迹山风,南部县禹迹山风景区,南充市
北湖公园,南充市北湖公园,南充市
梓州杜甫草堂,三台县梓州杜甫草堂景区,绵阳市
老峨山,老峨山景区,眉山市
沐川竹海,沐川竹海,乐山市
伊利乳业,成都伊利乳业园旅游景区,成都市
樱桃山,成都蒲江樱桃山旅游景区,成都市
杏花村,青白江区客家杏花村旅游景区,成都市
金山寺,开江金山寺旅游景区,达州市
川菜博物馆,成都市川菜博物馆,成都市
罨画池,崇州市罨画池,成都市
东方生态博览园,逐宁市大英县东方生态博览园,遂宁市
龙泉国际,成都市龙泉国际标榜旅游区,成都市
竹溪湖,邛峡竹溪湖生态旅游景区,成都市
美食文化园,休闲美食文化园,成都市
鹤鸣山,高坪区鹤鸣山旅游景区,南充市
川菜体验园,中国川菜体验园景区,成都市
黄桷树公园,邻水县黄桷树公园,广安市
东来桃源,南充市高坪区金凤山旅游景区,南充市
天工开物,简阳东来桃源景区,成都市
东兴老街,乐山市天工开物文化旅游景区,乐山市
萃屏公园,东兴老街,内江市
丹棱桃花源,萃屏公园,广安市
丹棱?桃花源,丹棱?桃花源,眉山市
蒙牛工业,蒙牛乳制品（眉山）工业旅游景区,眉山市
西南航空文化,西南航空文化旅游景区,成都市
雷畅故居,雷畅故居景区,乐山市
天池公园,天池公园景区,宜宾市
铜锣山,铜锣山旅游区,广安市
保和生态度假区,保和生态旅游度假区,资阳市
柠海,魅力柠海景区,资阳市
渠县纪念园,渠县红色渠县纪念园旅游景区,达州市
北辰湖公园,北辰湖公园,广安市
东湖,新繁东湖景区,成都市
大悦城,成都大悦城,成都市
八仙山,龙华镇八仙山立佛,宜宾市
龙洄酒庄,龙洄酒庄,泸州市
海滩公园,泸州欢乐派海滩公园,泸州市
护国运动,护国运动文化园区,泸州市
好秾人,好秾人有机农庄,成都市
蝶彩花卉,蝶彩花卉景区,眉山市
响水六坊,响水六坊景区,眉山市
梦幻岛,南湖梦幻岛,成都市
金盆地酒文化,四川金盆地酒文化博览园,成都市
玉皇养生谷,玉皇养生谷,成都市
有机生活公园,西充县中国有机生活公园旅游景区,南充市
鲜花山谷,鲜花山谷,成都市
中里新村,中里新村,雅安市
七里坝,七里坝旅游景区,雅安市
紫石关,紫石关村旅游景区,雅安市
宝森农林,安岳县宝森农林旅游区,资阳市
马渡关石林,宣汉县马渡关石林旅游景区,达州市
香炉山,达州市宣汉县香炉山旅游景区,达州市
庙安花果山,宣汉县庙安花果山旅游景区,达州市
圣水桃园,宣汉县圣水桃园旅游景区,达州市
三索窝,三索窝旅游景区,雅安市
花木编艺公园,寿安花木编艺公园,成都市
花城果乡,安州区花城果乡旅游景区,绵阳市
幸福七里,安州区幸福七里旅游景区,绵阳市
印象梅林,绵阳市平武印象梅林景区,绵阳市
醉氧天街,醉氧天街,乐山市
香谷水世界,凤垚香谷水世界,宜宾市
山水印象,常生山水印象,宜宾市
幸福公社,幸福公社,宜宾市
锦屏山,锦屏山3A级景区,宜宾市
龙蟠溪,龙蟠溪,宜宾市
余泽鸿故居,余泽鸿故居,宜宾市
鹿鸣茶海,鹿鸣茶海旅游景区,宜宾市
潮乡村,仪陇县新政镇安溪潮乡村旅游景区,南充市
五龙度假,阊中市天林乡五龙度假区,南充市
擦耳桃源,擦耳桃源旅游景区,南充市
醉美橙香,醉美橙香旅游景区,南充市
花好动物园,花好动物园生态观光动物园,南充市
黄继光纪念馆,黄继光纪念馆,德阳市
剑南老街,剑南老街,德阳市
香山,中国香山?寿香谷,德阳市
寿香谷,中国香山?寿香谷,德阳市
岭上花开,岭上花开农业公园,德阳市
泉映梨花,泉映梨花旅游景区,成都市
红花源,绵阳市安州区红花源景区,绵阳市
酱文化博览园,江油市中国酱文化博览园,绵阳市
汉亭生态农业观光园,汉亭生态农业观光园,达州市
米岩花海,宣汉县米岩花海旅游景区,达州市
神剑园,通川区神剑园旅游景区,达州市
飞云温泉,开江县飞云温泉景区,达州市
蟹螺堡子,蟹螺堡子,雅安市
桂花湖,桂花湖景区,眉山市
大云山,大云山景区,广安市
峨凤岭,华蓥山峨凤岭森林农庄,广安市
岳池县乡愁园,岳池县乡愁园景区,广安市
花香田园,花香田园景区,自贡市
东汉醪糟,东汉醪糟旅游景区,达州市
碧荷园,绵阳市安州区环湖碧荷园景区,绵阳市
汉阳湖,汉阳湖景区,眉山市
国瑞皓峰,国瑞皓峰景区,眉山市
寿星谷,寿星谷景区,眉山市
雅女湖,雅女湖有机农庄,眉山市
太极岛,大竹县玉带河太极岛,达州市
清溪沟,筠连清溪沟景区,宜宾市
金兰花谷,金兰花谷,宜宾市
橘香小镇,橘香小镇,宜宾市
南溪区月亮湾,南溪区月亮湾,宜宾市
世界樟海,世界樟海-长滩樟林景区,宜宾市
长滩樟林,世界樟海-长滩樟林景区,宜宾市
红岩柿子,四川江安红岩柿子部落旅游景区,宜宾市
竹海酒庄,长宁县竹海酒庄,宜宾市
天泉,苦竹?天泉景区,宜宾市
苦竹,苦竹?天泉景区,宜宾市
石板溪,珙县石板溪娃娃鱼生态园,宜宾市
九子山,九子山旅游景区,宜宾市
太安石林,太安石林,宜宾市
四季果园,宜宾市屏山县四季果园景区,宜宾市
文武荷田,高县文武荷田景区,宜宾市
花房子,大竹县花房子景区,达州市
云峰茶谷,大竹县云峰茶谷旅游景区,达州市
藤椒文化,幺麻子藤椒文化旅游景区,眉山市
樱花博览园,眉山樱花博览园,眉山市
悦缘花谷,悦缘花谷景区,资阳市
布拉格,南充市南部县布拉格景区,南充市
血村,南充市蓬安县血村,南充市
红军烈士纪念园,阖中市红军烈士纪念园,南充市
桃文化博览园,西充县桃文化博览园,南充市
双龙桥,西充县双龙桥中国有机生态循环第一村,南充市
御翠草堂,御翠草堂,成都市
佛罗伦萨,成都佛罗伦萨小镇,成都市
夏河溪,夏河溪景区,成都市
堡川矿,广元堡川矿记忆景区,雅安市
五彩荷园,五彩荷园景区,自贡市
火箭湖,瑞鑫火箭湖旅游景区,自贡市
银城花海,银城花海,广安市
根书艺术馆,中国根书艺术馆,乐山市
汉旺地震遗址,绵竹汉旺地震遗址公园,德阳市
朱德铜像,仪陇县朱德铜像纪念园,南充市
黎明村,仪陇县黎明村旅游景区,南充市
蝴蝶谷,安州区枣皮走廊·蝴蝶谷景区,绵阳市
胡坝,翠屏区幸福?胡坝景区,宜宾市
翠屏山,翠屏区翠屏山景区,宜宾市
金秋湖,翠屏区金秋湖茶博园景区,宜宾市
赵一曼故居,翠屏区赵一曼故居景区,宜宾市
春风里,叙州区春风里景区,宜宾市
长江第一湾,南溪区长江第一湾景区,宜宾市
洪谟故里,长宁县洪谟故里景区,宜宾市
水泸坝,兴文县水泸坝景区,宜宾市
凉水湾,兴文县凉水湾景区,宜宾市
千佛寨,安岳县千佛寨旅游景区,资阳市
四季果乡,乐至县四季果乡景区,资阳市
大雅文化,大雅文化旅游景区,眉山市
君兰天下,华蓥市君兰天下生态文化园,广安市
银鼎山,邻水县银鼎山公园,广安市
缪氏庄园,邻水县缪氏庄园,广安市
渠县文庙,渠县文庙景区,达州市
秀岭,秀岭春天景区,达州市
玫瑰谷,成都山玫瑰谷,达州市
蚕桑乐园,瑞福蚕桑乐园,达州市
帝源,帝源生态农场,达州市
罗瑞卿纪念馆,罗瑞卿纪念馆旅游景区,南充市
张澜纪念馆,张澜纪念馆旅游景区,南充市
保宁醋,保宁醋文化博览园旅游景区,南充市
龙滩子,名山区龙滩子景区,雅安市
红草坪,名山区红草坪景区,雅安市
蒙顶酒庄,名山区蒙顶酒庄景区,雅安市
藏茶世界,雨城区藏茶世界景区,雅安市
严道古城,严道古城景区,雅安市
八尔湖,南部县八尔湖景区,南充市
茶兰,四川邛崃茶兰景区,成都市
红仓,红仓?完美文创产业园,成都市
古宇渔村,隆昌市古宇渔村景区,内江市
花漫水乡,花漫水乡景区,内江市
万花谷,万花谷景区,内江市
孟塘里,孟塘里乡情生态园,内江市
古佛顶,古佛顶旅游景区,内江市
马祖故里,马祖故里景区,德阳市
广汉房湖,广汉房湖景区,德阳市
李冰文化,李冰文化旅游景区,德阳市
茉莉博览园,世界茉莉博览园,乐山市
沈子国酒庄,沈子国酒庄景区,泸州市
潼川古城,三台县潼川古城景区,绵阳市
老河沟,平武县老河沟景区,绵阳市
艺术部落,梓潼县文昌艺术部落,绵阳市
飞鸿滑草场,绵阳北川飞鸿滑草场景区,绵阳市
郪讲湿地,郪讲湿地公园,遂宁市
卓简井,卓简井遗址公园,遂宁市
金钟山,月亮湾.金钟山景区,雅安市
高桥竹村,翠屏区高桥竹村景区,宜宾市
雷公山,南溪区雷公山景区,宜宾市
长江竹岛,江安县长江竹岛景区,宜宾市
蜀山茶海,高县蜀山茶海景区,宜宾市
佛山橘海,佛山橘海.橘乐田园景区,资阳市
橘乐田园,佛山橘海.橘乐田园景区,资阳市
安岳石窟,安岳石窟.卧佛院,资阳市
卧佛院,安岳石窟.卧佛院,资阳市
五彩林,五彩林乡,资阳市
东坡区惠川,东坡区惠川景区,眉山市
裸伊谷,裸伊谷景区,眉山市
中岩,中岩景区,眉山市
玫瑰海,玫瑰海,自贡市
松鼠部落,成都松鼠部落森林假日公园,成都市
蜀酒文化,蜀酒文化园区,成都市
七坪寨,七坪寨旅游景区,南充市
丝绸博物馆,中国绸都丝绸博物馆,南充市
寺外桃源,南充南部县寺外桃源旅游景区,南充市
橘源,仪陇县橘源旅游景区,南充市
千坵,营山县多彩千坵旅游景区,南充市
大千纸故里,乐山市大千纸故里研学园,乐山市
沫若戏剧,沫若戏剧文创园,乐山市
魔芋工业,森态源魔芋工业旅游景区,乐山市
森态源,森态源魔芋工业旅游景区,乐山市
花椒博览园,中国花椒博览园,雅安市
川西竹海,川西竹海景区,成都市
彩灯大世界,中华彩灯大世界,自贡市
牛佛古镇,牛佛古镇景区,自贡市
三多古寨,三多古寨景区,自贡市
御景园,什邡市花坞.御景园景区,德阳市
花坞,什邡市花坞.御景园景区,德阳市
红军村,天全县红军村景区,雅安市
大地艺术,四川盆底-大地艺术景区,德阳市
小青龙河,小青龙河旅游景区,内江市
富乐山,绵阳富乐山景区,绵阳市
重龙山,内江资中重龙山,内江市
报国寺,资阳乐至龙门报国寺,资阳市
肖溪古镇,广安市肖溪古镇,广安市
隆昌古湖,内江市隆昌古湖景区,内江市
高峰山,高峰山景区,遂宁市
蓬莱公园,遂宁大英县蓬莱公园,遂宁市
彭祖故里,彭祖故里,眉山市
段家大院,德阳段家大院子川西古民居园区,德阳市
泸州市博物馆,泸州市博物馆,泸州市
西月湖公园,南充营山县西月湖公园,南充市
观音山,达州市宣汉县观音山森林公园,达州市
宽窄巷子,宽窄巷子,成都市
春秋祠,泸州叙永县春秋祠,泸州市
龙神垭,仪陇县龙神垭乡村旅游景区,南充市
成都战役纪念馆,成都战役纪念馆,成都市
纯阳观,成都市新津纯阳观景区,成都市
碧水蓝天,绵阳市碧水蓝天旅游景区,绵阳市
玉龙山,绵阳市盐亭县玉龙山旅游景区,绵阳市
朱德旧居陈列馆,泸州市况场朱德旧居陈列馆,泸州市
大深南海,南充市大深南海旅游景区,南充市
中富农庄,广安市岳池县中富农庄风景区,广安市
晨曦森林,涪城区晨曦森林度假村旅游景区,绵阳市
继勋公园,继勋公园,遂宁市
可久红岩山,高县可久红岩山旅游景区,宜宾市
蜜梨,广安市蜜梨度假村旅游景区,广安市
慈恩寺,资阳市乐至县慈恩寺旅游景区,资阳市
木鱼人家,乐山市木鱼人家旅游景区,乐山市
叠翠坪,沙湾区叠翠坪休闲度假中心,乐山市
乌木水寨,泸州乌木水寨,泸州市
梦里水乡,梦里水乡田园度假农场,泸州市
易园园林,四川易园园林艺术博物馆,成都市
五月玫瑰,五月玫瑰四季庭苑,成都市
四季庭苑,五月玫瑰四季庭苑,成都市
蜀国鹃都,蜀国鹃都景区,成都市
茶溪谷,都江堰市茶溪谷旅游景区,成都市
艾叶古镇,自贡市艾叶古镇,自贡市
汉源体育公园,雅安汉源体育公园,雅安市
雪山新村,雅安雪山新村景区,雅安市
烟峰彝家新寨,马边县烟峰彝家新寨旅游景区,乐山市
玛瑙苗寨,马边县玛瑙苗寨旅游景区,乐山市
白马景区,泸州市古蔺县双沙镇白马景区,泸州市
富民新村,大寨乡富民新村旅游景区,泸州市
大妙荷花,宜宾市大妙荷花景区,宜宾市
果城花乡,宜宾市果城花乡景区,宜宾市
橙乡烟山,南充市高坪橙乡烟山旅游景区,南充市
桃花山,松林桃花山风景区,德阳市
崇州市博物馆,崇州市博物馆,成都市
哈曲解放彝寨,峨边县哈曲解放彝寨,乐山市
黑竹沟彝寨,峨边县黑竹沟底底古彝寨,乐山市
黑竹沟底底古彝寨,峨边县黑竹沟底底古彝寨,乐山市
先锋新寨,五渡先锋新寨景区,乐山市
凤鸣会步,马边凤鸣会步景区,乐山市
东西关钓鱼城,东西关钓鱼城,广安市
水墨顺河,金口河区水墨顺河旅游景区,乐山市
五彩天池,金口河区五彩天池旅游景区,乐山市
花溪曙光,金口河区花溪曙光旅游景区,乐山市
犀牛山庄,犀牛山庄,眉山市
天池山,天池山景区,眉山市
沙子湾,沙子湾景区,眉山市
狮子生态,狮子生态农业景区,眉山市
脐橙之乡,中国脐橙之乡风景旅游区,成都市
连二里市,成都连二里市旅游景区,成都市
南溪区朱德旧居,南溪区朱德旧居景区,宜宾市
大林镇,天府新区大林镇翠湖梨乡,成都市
花熳天下,花熳天下景区,成都市
临江寺,雁江区临江寺?川味源文化旅游景区,资阳市 
稻香湾,稻香湾梦幻田园景区,眉山市
春驿花园,春驿花园景区,眉山市
天府微博村,天府微博村,成都市
辕门仙草谷,辕门仙草谷,乐山市
天府橙都,天府橙都,眉山市
稻虾乐园,稻虾乐园景区,德阳市
川西关口,川西关口景区,德阳市
荷花谷,荷花谷旅游景区,内江市
新华公园,成都市新华公园,成都市
峨山老窖,峨山老窖景区,眉山市
大足石刻,重庆大足石刻景区,大足
黑山谷,重庆万盛黑山谷景区,万盛
金佛山,重庆南川金佛山景区,南川
四面山,重庆江津四面山景区,江津
龙缸,重庆云阳龙缸景区,云阳
濯水,重庆黔江濯水景区,黔江
名山,重庆丰都名山风景区,丰都
聂荣臻元帅,重庆聂荣臻元帅陈列馆,江津
石宝寨,重庆忠县石宝寨,忠县
人民广场,重庆人民大礼堂及人民广场,渝中
人民大礼堂,重庆人民大礼堂及人民广场,渝中
歌乐山森林公园,重庆歌乐山森林公园,沙坪坝
缙云山,重庆缙云山景区,北碚
北泉,重庆北泉风景区,北碚
歌乐山烈士陵园,重庆歌乐山烈士陵园,渝中
南山植物园,重庆南山植物园,南岸
乐和乐都,重庆乐和乐都景区,永川
红岩革命纪念馆,重庆红岩革命纪念馆,渝中
雪玉洞,重庆丰都雪玉洞景区,丰都
张飞庙,重庆云阳张飞庙,云阳
小南海,重庆黔江小南海旅游景区,黔江
重庆市规划展览馆,重庆市规划展览馆,渝中
湖广会馆,重庆湖广会馆,渝中
磁器口,重庆磁器口古镇,沙坪坝
统景温泉,重庆统景温泉风景区,渝北
三峡博物馆,重庆中国三峡博物馆,渝中
洪崖洞,重庆洪崖洞民俗风貌区,渝中
海兰云天,重庆海兰云天温泉度假区,九龙坡
动物园,重庆动物园,九龙坡
贝迪颐园温泉,重庆贝迪颐园温泉度假区,九龙坡
重庆科技馆,重庆科技馆,江北
观音桥商圈,重庆观音桥商圈都市旅游区,江北
华岩旅游区,重庆华岩旅游区,九龙坡
加勒比海水世界,重庆加勒比海水世界景区,南岸
杨闇公故里,重庆潼南杨闇公故里景区,潼南
上邦温泉,重庆上邦温泉旅游区,九龙坡
大瀑布群,重庆万州大瀑布群旅游区,万州
古剑山,重庆綦江古剑山风景区,綦江
长寿湖,重庆长寿湖旅游区,长寿
刘伯承同志纪念馆,重庆开州刘伯承同志纪念馆,开州
白鹤梁,重庆白鹤梁水下博物馆景区,涪陵
中国民主党派历史陈列馆,重庆中国民主党派历史陈列馆景区,渝中
茶山竹海,重庆永川茶山竹海旅游景区,永川
钓鱼城,重庆合川钓鱼城景区,合川
铁山坪,重庆铁山坪森林公园,江北
金刀峡,重庆北碚金刀峡景区,北碚
菩提古镇,重庆长寿菩提古镇文化旅游区,长寿
三峡梯城,重庆云阳三峡梯城景区,云阳
园博园,重庆园博园,渝北
观音塘,重庆璧山观音塘湿地公园,璧山
安居古城,重庆铜梁安居古城,铜梁
大佛寺,重庆潼南大佛寺,潼南
大裂谷,重庆涪陵武陵山大裂谷景区,涪陵
汉丰湖,重庆开州汉丰湖景区,开州
万灵古镇,重庆荣昌万灵古镇,荣昌
天地旅游区,重庆天地旅游区,渝中
周君记火锅,重庆周君记火锅食品工业旅游体验园,九龙坡
东温泉,重庆东温泉风景区,巴南
涞滩古镇,重庆合川涞滩古镇,合川
武陵山,重庆涪陵武陵山国家森林公园,涪陵
大木花谷,重庆涪陵大木花谷林下花园景区,涪陵
奇彩梦园,重庆铜梁黄桷门奇彩梦园,铜梁
